AH,Authentication Header,nagłówek uwierzytelniania
API,Application Programming Interface,interfejs programów użytkowych
ARP,Address Resolution Protocol,protokół odwzorowywania adresów
ASCII,American Standard Code for Information Interchange,standardowy amerykański kod wymiany informacji
ASIC,Application Specific Integrated Circuit,układ scalony właściwy aplikacji
AS,Autonomous System, system autonomiczny
ATM,Asynchronous Transfer Mode, tryb przesyłania asynchronicznego
bps,bits per second,bity na sekunde
BRA,Basic Rate Access,dostęp w trybie podstawowym
BPDU,Bridge Protocol Data Unit,,jednostka danych protokołu mostu
CIR,Committed Information Rate,przepustowość gwarantowana umową
CBR,Committed Burst Rate,przepustowość chwilowa gwarantowana umową
CHAP,Challenge Handshake Authentication Protocol,protokół wymiany wyzwania uwierzytelniającego
CIDR,Classless InterDomain Routing,bezklasowy routing międzydomenowy
CIFS,Common Internet File System,powszechny internetowy system plików
CIR,Committed Information Rate,zagwarantowany poziom transmisji
CoS,Class Of Service,klasa usługi
CPE,Customer-premises Equipment,zakończenie sieci telekomunikacyjnej znajdujące się u klienta
CRC,Cyclic Redundancy Check,cykliczna kontrola nadmiarowa
DCE,Data Communications Equipment,urządzenie końcowe łącza teleinformatycznego
DDP,Datagram Delivery Protocol,protokół dostarczania datagramów
DES,Data Encription Standard,standard szyfrowania danych
DFS,Dynamic Frequency Selection,dynamiczny wybór częstotliwości
DHCP,Dynamic Host Configuration Protocol,protokół dynamicznej konfiguracji hosta
DLCI,Data Link Connection Identifier,jednoznaczny identyfikator łącza danych
DNS,Domain Name System,system nazw domenowych
DSAP,Destination Service Access Point,punkt dostępu usługi docelowej
DSH,Digital Signal Hierarchy,hierarchia sygnałów cyfrowych
DSL,Digital Subscriber Line,cyfrowa linia abonencka
DTE,Data Terminal Equipment,terminal teleinformatyczny
DWDM,Dense Wavelength Division Multiplexing,multipleksacja z gęstym podziałem falowym
EIA,Electronics Industry Association,Towarzystwo Przemysłu Elektronicznego
ESP,Encapsulating Security Payload,enkapsulowanie ładunku bezpieczeństwa
FDDI,Fiber Distributed Data Interface,światłowodowy interfejs danych rozproszonych
FCS,Frame Check Sequence,sekwencja kontrolna ramki
FR,Frame Relay,przekazywanie ramek
FTP,File Transfer Protocol,protokół przesyłania plików
Gb,gigabit,gigabit
GB,gigabyte,gigabajt
GNS,Get Nearest Server,uzyskaj dostęp do najbliższego serwera
GRE,Generic Routing Encapsulation,ogólna enkapsulacja dla routingu
HDLC,High-level Data Link Control,wysokopoziomowe sterowanie łączem danych
HTML,Hypertext Markup Language,język hipertekstowego znakowania informacji
HTTP,Hypertext Transfer Protocol,protokół przesyłania hipertekstu
ICMP,Internet Control Message Protocol,protokół sterowania wiadomością internetową
IDEA,International Data Encription Algorithm,międzynarodowy algorytm szyfrowania danych
IDF,Intermediate Distribution Facility pośredni,węzeł dystrybucyjny
IEEE,Institute of Electrical and Electronics Engineers,Instytut Inżynierów Elektryków i Elektroników
IGRP,Interior Gateway Routing Protocol,protokół routingu wewnętrznej bramy
IKE,Internet Key Exchange,internetowa wymiana klucza
ILD,Injection Laser Diode,iniekcyjna dioda laserowa
IMAP,Internet Mail Access Protocol,protokół dostępu do poczty internetowej
IP,Internet Protocol,protokół internetowy
IPX,Internetwork Packet eXchange,protokół wymiany pakietów sieci firmy Novell
ISDN,Integrated Services Digital Network,sieć cyfrowa usług zintegrowanych
ISO,International Standards Organization,Organizacja Standardów Międzynarodowych
ISP,Internet Service Provider,dostawca usług internetowych
Kb,kilobit,kilobit
KB,kilobyte,kilobajt
LAN,Local Area Network,lokalna sieć komputerowa
LAPB,Link Access Procedure Balanced,zrównoważona procedura dostępu do łącza
LED,Light Emitting Diode,dioda emitująca światło
LLC,Logical Link Control,sterowanie łączem logicznym
MAC,Media Access Control,sterowanie dostępem do nośnika
MAN,Municipal Area Network,miejska sieć komputerowa
Mb,megabit,megabit
MB,megabyte,megabajt
MD5,Message Digest 5,skrót wiadomości 5
MDF,Main Distribution Facility,główny węzeł dystrybucyjny
MIB,Management Information Base,baza informacji zarządzania
MIME,Multipurpose Internet Mail Extension,uniwersalne rozszerzenie poczty internetowej
MDI,Media Dependent Interface,interfejs zależny od medium
MPLS,Multi-Protocol Label Switching,wieloprotokołowe przełączanie etykiet
NAP,Network Access Point,punkt dostępu do sieci
NAT,Network Address Translation,translacja adresów sieciowych
NCP,NetWare Core Protocol,protokół rdzeniowy systemu Netware
